Report Date,Ticker,Report Time,Earnings,Earnings Surprise (%),Close Before Earnings,Open After Earnings,Close After Earnings,High After Earnings,Low After Earnings,Volume Before Earnings
2019-03-21,ZUO,AMC,-0.11,0,24.33,22.28,20.91,23.97,20.28,5050000.0
2019-03-21,RTW,AMC,0,-100,2.51,2.45,2.37,2.48,2.25,139120.0
2019-03-21,PANL,BMO,-0.01,-114.29,3.42,3.37,3.26,3.37,3.22,26910.0
2019-03-22,JKS,BMO,0.4,-36.51,19.61,18.51,17.14,18.98,16.75,2860000.0
2019-03-22,TIF,BMO,1.6,0,100.06,97.84,103.21,104.2,97.3,2790000.0
2019-03-22,DXLG,BMO,-0.01,80,2.63,2.77,2.59,2.8,2.52,72310.0
2019-03-22,HIBB,BMO,0.57,50,18.04,23.0,21.7,23.88,21.32,925710.0
2019-03-22,YMAB,BMO,-0.42,-35.48,24.41,25.0,23.36,25.01,22.68,370020.0
2019-03-24,YRD,BMO,0.79,14.49,12.3,12.03,11.45,12.29,11.38,232690.0
2019-03-25,LIFE,AMC,-0.21,4.55,0.505,0.57,0.526,0.57,0.47600000000000003,2049999.9999999998
2019-03-25,APHB,BMO,-0.15,-114.29,0.33,0.35,0.305,0.35,0.25,0.0
2019-03-25,ICLK,BMO,-0.02,33.33,4.35,4.36,4.39,4.46,4.2,30300.0
2019-03-25,AVRO,BMO,-0.67,-17.54,18.2,17.58,17.78,18.11,17.1,173180.0
2019-03-25,YTEN,AMC,-0.19,0,1.21,1.2,1.15,1.205,1.08,94060.0
2019-03-25,KOOL,AMC,-0.15,-114.29,0.3,0.2856,0.2797,0.3,0.2521,359930.0
2019-03-25,DRIO,BMO,-0.11,26.67,0.816,0.81,0.745,0.81,0.63,487080.0
2019-03-25,CMCM,BMO,0.83,315,6.77,6.39,7.01,7.05,6.24,584360.0
2019-03-25,WGO,BMO,0.68,17.24,29.11,29.65,29.01,30.79,28.62,692000.0
2019-03-25,MDWD,BMO,-0.05,66.67,5.19,5.58,5.07,5.58,5.03,45750.0
