Report Date,Ticker,Report Time,Earnings,Earnings Surprise (%),Close Before Earnings,Open After Earnings,Close After Earnings,High After Earnings,Low After Earnings,Volume Before Earnings
2019-03-19,AIR,AMC,0.79,12.86,35.1,32.75,33.17,34.1,31.51,699470.0
2019-03-19,ARCE,AMC,0.21,50,29.24,29.46,30.61,32.24,27.8,215840.0
2019-03-19,ATTO,AMC,0.21,16.67,3.94,4.0,3.75,4.03,3.58,431410.0
2019-03-19,ADES,BMO,0.36,-2.7,11.39,11.4,11.09,11.42,10.75,102300.0
2019-03-19,BITA,BMO,0.22,0,17.47,17.47,17.54,17.93,16.39,1610000.0
2019-03-19,PRVB,AMC,-0.15,21.05,2.38,2.36,2.42,2.44,2.35,86900.0
2019-03-19,MIK,BMO,1.44,1.41,11.79,12.5,12.79,13.7,12.23,3630000.0
2019-03-19,CPRX,BMO,-0.14,-27.27,3.08,3.25,3.48,3.68,3.23,1350000.0
2019-03-19,VRRM,BMO,-0.43,-577.78,10.91,10.83,10.55,10.88,10.44,139720.0
2019-03-19,SHIP,BMO,-1.05,-275,6.587000000000001,6.525,5.475,6.525,5.265,8430.0
2019-03-19,FDX,AMC,3.03,-2.57,181.41,172.75,175.07,175.77,169.66,4280000.0
2019-03-19,IDXG,AMC,-0.14,-75,0.96,0.97,0.8818,0.97,0.8753,404490.0
2019-03-19,TME,AMC,0.08,-11.11,18.57,17.3,16.66,17.55,16.34,13950000.0
2019-03-19,TME,BMO,0.08,-11.11,19.11,19.38,18.57,19.97,18.45,7920000.0
2019-03-19,XYF,BMO,0.25,4.17,6.18,6.35,6.47,6.8728,6.35,42860.0
2019-03-19,HDS,BMO,0.7,4.48,43.12,43.49,41.45,44.0,41.1,3640000.0
2019-03-19,SCS,AMC,0.29,11.54,17.48,18.01,15.11,18.01,15.01,1050000.0
2019-03-19,SMAR,AMC,-0.07,50,43.44,48.81,45.69,49.04,44.5,1840000.0
2019-03-20,APTX,AMC,-0.42,16,4.01,4.11,4.04,4.26,3.7,351690.0
2019-03-20,NTN,AMC,0.11,-26.67,3.95,3.7,3.89,3.94,3.64,21260.0
2019-03-20,NTN,AMC,0.11,-26.67,3.95,3.7,3.89,3.94,3.64,21260.0
2019-03-20,DRIO,BMO,-0.11,26.67,0.677,0.7,0.674,0.7,0.64,44340.0
2019-03-20,ESTA,AMC,-0.52,-44.44,28.27,28.28,27.0,30.06,26.75,54600.0
2019-03-20,GES,AMC,0.7,-6.67,22.07,18.83,19.31,19.35,18.3,2330000.0
2019-03-20,GIS,BMO,0.83,20.29,47.24,48.34,48.29,49.5,48.17,5200000.0
2019-03-20,MLHR,AMC,0.64,8.47,35.06,35.75,35.77,36.88,35.03,534640.0
2019-03-20,MU,AMC,1.71,2.4,40.13,41.7,43.99,44.21,41.65,41710000.0
2019-03-20,QADA,AMC,0.29,163.64,46.08,44.95,42.35,44.95,40.5,212880.0
2019-03-20,QADA,AMC,0.29,163.64,46.08,44.95,42.35,44.95,40.5,212880.0
2019-03-20,METC,BMO,0.08,33.33,5.66,6.07,6.06,6.44,5.5,88800.0
2019-03-20,WOR,AMC,0.49,-12.5,36.78,36.79,38.09,39.01,36.79,245900.0
2019-03-20,MTBC,BMO,-0.19,0,4.69,4.8,4.38,4.807,4.35,140400.0
2019-03-20,WSM,AMC,2.1,7.14,56.85,58.3,59.22,59.35,57.25,3790000.0
2019-03-20,RAVN,AMC,0.08,-66.67,38.59,33.9,35.16,36.17,33.0,118100.0
2019-03-21,STAF,BMO,-0.29,-866.67,2.16,1.65,1.7,1.712,1.55,4270000.0
2019-03-21,ATU,BMO,-0.01,0,25.69,25.24,24.16,25.73,24.07,445690.0
2019-03-21,GIII,BMO,0.55,30.95,35.16,38.2,39.07,40.53,36.58,923220.0
2019-03-21,ACIU,BMO,-0.2,-157.14,4.65,4.45,4.5,4.64,4.37,340780.0
2019-03-21,CAG,BMO,0.51,4.08,22.9,24.55,25.82,26.17,24.25,11680000.0
2019-03-21,CPLG,AMC,-0.54,-8,14.13,13.07,10.5,13.24,10.25,579900.0
2019-03-21,CTAS,AMC,1.84,7.6,208.12,202.91,194.55,204.01,193.75,838330.0
2019-03-21,CMC,BMO,0.29,11.54,16.06,15.99,17.37,17.46,15.94,1820000.0
2019-03-21,CSIQ,BMO,1.81,79.21,23.62,21.54,19.28,21.54,19.102,1320000.0
2019-03-21,DRI,BMO,1.8,3.45,108.65,113.49,116.11,116.56,112.5,1910000.0
2019-03-21,DLNG,AMC,-0.04,-200,2.63,2.32,2.38,2.44,2.26,361840.0
2019-03-21,LE,BMO,0.5,25,17.21,18.8,16.12,18.8,15.88,166640.0
2019-03-21,IDN,AMC,-0.04,33.33,2.55,2.66,2.92,2.9530000000000003,2.655,11780.0
2019-03-21,NKE,AMC,0.68,4.62,88.01,85.2,82.19,85.9,82.15,10390000.0
2019-03-21,SCON,BMO,-0.7,55.41,1.67,1.79,1.9,2.58,1.75,63670.0
2019-03-21,OPNT,BMO,-0.37,-184.62,13.91,13.98,14.02,14.1862,13.8,16410.0
2019-03-21,ZUO,AMC,-0.11,0,24.33,22.28,20.91,23.97,20.28,5050000.0
