,SPY Close N-1,SPY Open N
1/8/19,254.38,256.82
1/9/19,256.77,257.56
1/10/19,257.97,256.26
1/11/19,258.88,257.68
1/12/19,258.98,258.98
1/13/19,258.98,258.98
1/14/19,258.98,256.86
1/15/19,257.4,257.82
1/16/19,260.35,260.83
1/17/19,260.98,260.01
1/18/19,262.96,264.98
1/19/19,266.46,266.46
1/20/19,266.46,266.46
1/21/19,266.46,266.46
1/22/19,266.46,264.82
1/23/19,262.86,264.01
1/24/19,263.41,263.21
1/25/19,263.55,265.61
1/26/19,265.78,265.78
1/27/19,265.78,265.78
1/28/19,265.78,263.39
1/29/19,263.76,263.92
1/30/19,263.41,265.1
1/31/19,267.58,267.51
2/1/19,269.93,270.15
2/2/19,270.06,270.06
2/3/19,270.06,270.06
2/4/19,270.06,270.11
2/5/19,271.96,272.44
2/6/19,273.1,272.79
2/7/19,272.74,270.94
2/8/19,270.14,268.75
2/9/19,270.47,270.47
2/10/19,270.47,270.47
2/11/19,270.47,271.2
2/12/19,270.62,272.42
2/13/19,274.1,275.03
2/14/19,274.99,273.78
2/15/19,274.38,276.36
2/16/19,277.37,277.37
2/17/19,277.37,277.37
2/18/19,277.37,277.37
2/19/19,277.37,276.48
2/20/19,277.85,277.81
2/21/19,278.41,277.7
2/22/19,277.42,278.11
2/23/19,279.14,279.14
2/24/19,279.14,279.14
2/25/19,279.14,280.73
2/26/19,279.52,279.13
2/27/19,279.32,278.52
2/28/19,279.2,278.96
3/1/19,278.68,280.44
3/2/19,280.42,280.42
3/3/19,280.42,280.42
3/4/19,280.42,281.6
3/5/19,279.4,279.54
3/6/19,279.02,279.15
3/7/19,277.33,276.83
3/8/19,275.01,272.94
3/9/19,274.46,274.46
3/10/19,274.46,274.46
3/11/19,274.46,275.26
3/12/19,278.44,279.06
3/13/19,279.49,280.48
3/14/19,281.34,281.37
3/15/19,281.16,280.54
3/16/19,281.31,281.31
3/17/19,281.31,281.31
3/18/19,281.31,281.55
3/19/19,282.33,283.51
3/20/19,282.4,282.16
3/21/19,281.55,280.64
3/22/19,284.73,283.22
3/23/19,279.25,279.25
3/24/19,279.25,279.25
3/25/19,279.25,278.87
3/26/19,279.04,280.99
3/27/19,281.12,281.11
3/28/19,279.65,280.35
