,SPY Close N-1,SPY Open N
8/1/18,281.33,281.56
8/2/18,280.86,279.39
8/3/18,282.39,282.53
8/4/18,283.6,283.6
8/5/18,283.6,283.6
8/6/18,283.6,283.64
8/7/18,284.64,285.39
8/8/18,285.58,285.39
8/9/18,285.46,285.53
8/10/18,285.07,283.45
8/11/18,283.16,283.16
8/12/18,283.16,283.16
8/13/18,283.16,283.47
8/14/18,282.1,282.92
8/15/18,283.9,282.38
8/16/18,281.78,283.4
8/17/18,284.06,283.83
8/18/18,284.06,283.83
8/19/18,284.06,283.83
8/20/18,285.06,285.57
8/21/18,285.67,286.25
8/22/18,286.34,285.88
8/23/18,286.17,285.97
8/24/18,285.79,286.44
8/25/18,287.51,287.51
8/26/18,287.51,287.51
8/27/18,287.51,288.86
8/28/18,289.78,290.3
8/29/18,289.92,290.16
8/30/18,291.48,290.94
8/31/18,290.3,289.84
9/1/18,290.31,290.31
9/2/18,290.31,290.31
9/3/18,290.31,290.31
9/4/18,290.31,289.84
9/5/18,289.81,289.41
9/6/18,289.03,289.15
9/7/18,288.16,286.98
9/8/18,287.6,287.6
9/9/18,287.6,287.6
9/10/18,287.6,288.74
9/11/18,288.1,287.37
9/12/18,289.05,289.06
9/13/18,289.12,290.32
9/14/18,290.83,291.06
9/15/18,290.88,290.88
9/16/18,290.88,290.88
9/17/18,290.88,290.82
9/18/18,289.34,289.58
9/19/18,290.91,290.97
9/20/18,291.22,292.64
9/21/18,293.58,293.09
9/22/18,291.99,291.99
9/23/18,291.99,291.99
9/24/18,291.99,291.34
9/25/18,291.02,291.53
9/26/18,290.75,290.91
9/27/18,289.88,290.41
9/28/18,290.69,289.99
9/29/18,290.72,290.72
9/30/18,290.72,290.72
10/1/18,290.72,292.11
10/2/18,291.73,291.56
10/3/18,291.56,292.74
10/4/18,291.72,291.18
10/5/18,289.44,289.69
10/6/18,287.82,287.82
10/7/18,287.82,287.82
10/8/18,287.82,287.05
10/9/18,287.82,287.39
10/10/18,287.4,286.83
10/11/18,278.3,277.08
10/12/18,272.17,276.77
10/13/18,275.95,275.95
10/14/18,275.95,275.95
10/15/18,275.95,275.55
10/16/18,274.4,276.6
10/17/18,280.4,280.44
10/18/18,280.45,279.4
10/19/18,276.4,277.13
10/20/18,276.25,276.25
10/21/18,276.25,276.25
10/22/18,276.25,277
10/23/18,275.01,270.95
10/24/18,273.61,273.33
10/25/18,265.32,267.38
10/26/18,270.08,265.92
10/27/18,265.33,265.33
10/28/18,265.33,265.33
10/29/18,265.33,268.8
10/30/18,263.86,263.67
10/31/18,267.77,270.65
11/1/18,270.63,271.6
11/2/18,273.51,274.75
11/3/18,271.89,271.89
11/4/18,271.89,271.89
11/5/18,271.89,272.44
11/6/18,273.39,273.32
11/7/18,275.12,277.56
11/8/18,281.01,280.11
11/9/18,280.5,279.03
11/10/18,277.76,277.76
11/11/18,277.76,277.76
11/12/18,277.76,277.19
11/13/18,272.57,273.09
11/14/18,272.06,274.16
11/15/18,270.2,268.78
11/16/18,273.02,271.79
11/17/18,273.73,273.73
11/18/18,273.73,273.73
11/19/18,273.73,273.05
11/20/18,269.1,265.36
11/21/18,264.12,265.86
11/22/18,265.02,265.02
11/23/18,265.02,263.18
11/24/18,265.02,263.18
11/25/18,265.02,263.18
11/26/18,263.25,265.78
11/27/18,267.5,266.34
11/28/18,268.4,269.6
11/29/18,274.58,273.71
11/30/18,273.98,273.81
12/1/18,275.65,275.65
12/2/18,275.65,275.65
12/3/18,275.65,280.28
12/4/18,279.3,278.37
12/5/18,270.25,270.25
12/6/18,270.25,265.92
12/7/18,269.84,269.46
12/8/18,263.57,263.57
12/9/18,263.57,263.57
12/10/18,263.57,263.37
12/11/18,264.07,267.66
12/12/18,264.13,267.47
12/13/18,265.46,266.52
12/14/18,265.37,262.96
12/15/18,260.47,260.47
12/16/18,260.47,260.47
12/17/18,260.47,259.4
12/18/18,255.36,257.2
12/19/18,255.08,255.17
12/20/18,251.26,249.86
12/21/18,247.17,246.74
12/22/18,240.7,240.7
12/23/18,240.7,240.7
12/24/18,240.7,239.04
12/25/18,240.7,239.04
12/26/18,234.34,235.97
12/27/18,246.18,242.57
12/28/18,248.07,249.58
12/29/18,247.75,247.75
12/30/18,247.75,247.75
12/31/18,247.75,249.56
1/1/19,249.92,249.92
1/2/19,249.92,245.98
1/3/19,250.18,248.23
1/4/19,244.21,247.59
1/5/19,252.39,252.39
1/6/19,252.39,252.39
1/7/19,252.39,252.69
